epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,544.108,1.34329,0.9156,1.33654,0.86254,0.52778,0.52013,0.25915,2.03819,1.82621,2.04962,0.001406,0.001406,0.001406
47,557.693,1.35523,0.92218,1.2716,0.70714,0.52778,0.51239,0.21986,2.18532,1.74506,2.02644,0.0013928,0.0013928,0.0013928
48,572.003,1.30814,0.87859,1.30266,0.72908,0.72222,0.74207,0.33258,1.78069,1.30058,1.86427,0.0013796,0.0013796,0.0013796
49,585.316,1.29614,0.87296,1.2837,0.69635,0.83333,0.76731,0.34205,1.8704,1.07803,1.97027,0.0013664,0.0013664,0.0013664
50,596.492,1.26446,0.83719,1.26053,0.77002,0.75,0.69608,0.29086,1.96682,1.28102,1.93577,0.0013532,0.0013532,0.0013532
51,610.984,1.34308,0.90595,1.32873,0.72691,0.63889,0.76338,0.31459,1.90846,1.20718,1.83491,0.00134,0.00134,0.00134
52,624.827,1.17566,0.80893,1.25907,0.69713,0.75,0.73851,0.33966,1.79877,1.16619,1.81124,0.0013268,0.0013268,0.0013268
53,639.656,1.23409,0.78365,1.25104,0.82851,0.67113,0.76388,0.33572,1.84303,1.14086,1.77737,0.0013136,0.0013136,0.0013136
54,653.958,1.25085,0.77422,1.24036,0.82983,0.72222,0.73011,0.35698,1.7486,1.05193,1.71813,0.0013004,0.0013004,0.0013004
55,670.949,1.25187,0.83519,1.28494,0.88525,0.69444,0.79105,0.39768,1.71227,1.00896,1.71782,0.0012872,0.0012872,0.0012872
56,691.214,1.13844,0.77237,1.2464,0.83754,0.77778,0.79418,0.34875,1.70989,1.2864,1.77506,0.001274,0.001274,0.001274
57,703.217,1.25381,0.84588,1.31092,0.82779,0.80556,0.81112,0.34029,1.84667,1.04732,1.90552,0.0012608,0.0012608,0.0012608
58,715.45,1.24322,0.82652,1.28249,0.85209,0.83333,0.82564,0.35129,1.78953,0.93286,1.94642,0.0012476,0.0012476,0.0012476
